id,name,full_name,owner_login,owner_type,description,default_branch,private,fork,archived,disabled,is_template,has_issues,has_projects,has_wiki,has_pages,has_discussions,primary_language,detected_primary_language,topics,license_name,stargazers_count,watchers_count,forks_count,open_issues_count,size_kb,html_url,homepage,clone_url,readme_download_url,created_at,updated_at,pushed_at
1167056363,3D_HOP,MatALass/3D_HOP,MatALass,User,,main,False,False,False,False,False,True,True,False,True,False,JavaScript,JavaScript,,,0,0,0,0,3299,https://github.com/MatALass/3D_HOP,,https://github.com/MatALass/3D_HOP.git,https://raw.githubusercontent.com/MatALass/3D_HOP/main/readme.txt,2026-02-25T22:34:38+00:00,2026-02-26T20:54:54+00:00,2026-02-26T20:47:30+00:00
1052991207,Analyse-des-Avis-et-Alertes-ANSSI,MatALass/Analyse-des-Avis-et-Alertes-ANSSI,MatALass,User,"Cybersecurity project analyzing ANSSI advisories and CVEs with enriched datasets, Python scripts, and Jupyter notebooks. Includes data preprocessing, AI/game logic, and reports for vulnerability insights.",main,False,False,False,False,False,True,True,True,False,False,HTML,HTML,,,0,0,0,0,31727,https://github.com/MatALass/Analyse-des-Avis-et-Alertes-ANSSI,,https://github.com/MatALass/Analyse-des-Avis-et-Alertes-ANSSI.git,https://raw.githubusercontent.com/MatALass/Analyse-des-Avis-et-Alertes-ANSSI/main/README.md,2025-09-08T20:45:28+00:00,2026-03-10T10:23:58+00:00,2025-09-09T13:31:55+00:00
1052733302,Atelier_Alassoeur_Website,MatALass/Atelier_Alassoeur_Website,MatALass,User,"A simple web project with an HTML page styled by CSS and supported by image assets. It showcases sketches, photos, and logos, serving as a lightweight visual portfolio or presentation site.",main,False,False,False,False,False,True,True,True,False,False,CSS,CSS,,,0,0,0,0,2444,https://github.com/MatALass/Atelier_Alassoeur_Website,http://www.atelier-alassoeur.com/,https://github.com/MatALass/Atelier_Alassoeur_Website.git,https://raw.githubusercontent.com/MatALass/Atelier_Alassoeur_Website/main/README.md,2025-09-08T13:26:10+00:00,2026-01-21T09:53:36+00:00,2025-09-08T18:28:59+00:00
1166520741,automata-toolkit,MatALass/automata-toolkit,MatALass,User,"Production-grade CLI tool to parse, validate, and transform finite automata (determinization, minimization, recognition) with strong test coverage and clean architecture.",main,False,False,False,False,False,True,True,True,False,False,Python,Python,"algorithms, automata, cli-tool, dfa, finite-automata, graphviz, nfa, python, software-engineering",MIT License,0,0,0,0,2278,https://github.com/MatALass/automata-toolkit,,https://github.com/MatALass/automata-toolkit.git,https://raw.githubusercontent.com/MatALass/automata-toolkit/main/README.md,2026-02-25T10:06:31+00:00,2026-03-21T11:07:56+00:00,2026-03-21T11:07:53+00:00
1154606379,between-light,MatALass/between-light,MatALass,User,2D arcade game prototype built with GameMaker Language.,main,False,False,False,False,False,True,True,True,False,False,Game Maker Language,Game Maker Language,"2d, arcade, game, gamemaker, gml, personal, prototype",,0,0,0,0,8938,https://github.com/MatALass/between-light,,https://github.com/MatALass/between-light.git,https://raw.githubusercontent.com/MatALass/between-light/main/README.md,2026-02-10T15:24:31+00:00,2026-02-24T12:38:04+00:00,2026-02-23T14:23:48+00:00
1166500856,binwatch,MatALass/binwatch,MatALass,User,"Full-stack smart waste monitoring app that classifies bin status from images, stores inspection history, and exposes analytics-ready data with Flask, Express, PostgreSQL, and HTML/CSS/JavaScript.",main,False,False,False,False,False,True,True,True,False,False,HTML,HTML,"analytics, computer-vision, data-engineering, express, flask, full-stack, image-classification, javascript, postgresql, python, railway, smart-city, waste-management",Other,0,0,0,0,18810,https://github.com/MatALass/binwatch,https://binwatch.vercel.app,https://github.com/MatALass/binwatch.git,https://raw.githubusercontent.com/MatALass/binwatch/main/README.md,2026-02-25T09:40:42+00:00,2026-03-11T10:09:30+00:00,2026-03-11T10:09:26+00:00
1138936478,Boardswipe,MatALass/Boardswipe,MatALass,User,"BoardSwipe is an interactive web application for board game enthusiasts, allowing users to discover, rate, and share games through a swipe-based system, while connecting with a community of passionate players.",main,False,False,False,False,False,True,True,True,False,False,JavaScript,JavaScript,"backend, board-games, community, database, frontend, javascript, recommendation-system, school-project, swipe-ui, web-application",,0,0,0,0,994,https://github.com/MatALass/Boardswipe,,https://github.com/MatALass/Boardswipe.git,https://raw.githubusercontent.com/MatALass/Boardswipe/main/README.md,2026-01-21T09:59:46+00:00,2026-03-10T10:23:48+00:00,2026-02-25T10:04:03+00:00
1052789131,CanAdventure,MatALass/CanAdventure,MatALass,User,"A Vue.js frontend application starter with ESLint, Babel, and Tailwind CSS for scalable modern web development.",main,False,False,False,False,False,True,True,True,False,False,Vue,Vue,"babel, eslint, frontend, javascript, modern-js, spa, tailwindcss, vue, vuejs, webapp",,0,0,0,0,8180,https://github.com/MatALass/CanAdventure,,https://github.com/MatALass/CanAdventure.git,https://raw.githubusercontent.com/MatALass/CanAdventure/main/README.md,2025-09-08T14:48:50+00:00,2026-03-10T10:23:55+00:00,2026-01-21T09:45:08+00:00
1139082244,contact-card,MatALass/contact-card,MatALass,User,"Minimal HTML contact card / email signature with links (LinkedIn, GitHub).",main,False,False,False,False,False,True,True,True,True,False,HTML,HTML,"contact-card, email-signature, github-pages, html, personal-website",,0,0,0,0,134,https://github.com/MatALass/contact-card,,https://github.com/MatALass/contact-card.git,https://raw.githubusercontent.com/MatALass/contact-card/main/README.md,2026-01-21T13:55:23+00:00,2026-02-24T13:21:18+00:00,2026-02-24T13:19:24+00:00
1083257111,dataviz-dashboard,MatALass/dataviz-dashboard,MatALass,User,Interactive Streamlit dashboard analyzing socio-demographic and digital factors influencing cultural consumption in France using open public data.,main,False,False,False,False,False,True,True,True,False,False,Jupyter Notebook,Jupyter Notebook,"business-intelligence, dashboard, data-analytics, data-storytelling, data-visualization, open-data, python, socio-demographics, streamlit",,0,0,0,0,7884,https://github.com/MatALass/dataviz-dashboard,,https://github.com/MatALass/dataviz-dashboard.git,https://raw.githubusercontent.com/MatALass/dataviz-dashboard/main/README.md,2025-10-25T16:50:24+00:00,2026-03-10T10:23:53+00:00,2026-01-21T09:52:47+00:00
